	shannon_entropy
14989.soil.hip.CMU.16.05.2016.mo.day14	3.9701031972054452
14989.soil.hip.CMU.16.05.2016.mo.day16	5.263064047441959
14989.soil.hip.CMU.16.05.2016.mo.day18	4.9216560378736665
14989.soil.hip.CMU.16.05.2016.mo.day19	4.894917084496883
14989.soil.hip.CMU.16.05.2016.mo.day2	5.601616605929954
14989.soil.hip.CMU.16.05.2016.mo.day21	4.026501127563616
14989.soil.hip.CMU.16.05.2016.mo.day3	5.630801901522697
14989.soil.hip.CMU.16.05.2016.mo.day4	6.396834477130024
14989.soil.hip.SHSU.2016.007.2016.04.17.day3	5.579091004434398
14989.soil.hip.SHSU.2016.007.2016.04.18.day4	4.702586435473533
14989.soil.hip.SHSU.2016.007.2016.04.20.day6	3.341253684660375
14989.soil.hip.SHSU.2016.007.2016.04.21.day7	4.104115055032047
14989.soil.hip.SHSU.2016.011.2016.04.15.day1	5.861600023387164
14989.soil.hip.SHSU.2016.011.2016.04.16.day2	6.333915174491105
14989.soil.hip.SHSU.2016.011.2016.04.17.day3	0.7514237988107333
14989.soil.hip.SHSU.2016.011.2016.04.18.day4	3.3113176322004456
14989.soil.hip.SHSU.2016.011.2016.04.20.day6	3.4042190399767445
14989.soil.hip.SHSU.2016.011.2016.04.21.day7	4.0007537335857135
14989.soil.hip.SHSU.2016.024.2016.04.15.day1	5.99824141651495
14989.soil.hip.SHSU.2016.024.2016.04.17.day3	6.016974335567696
14989.soil.hip.SHSU.2016.024.2016.04.18.day4	4.898058574776779
14989.soil.hip.SHSU.2016.024.2016.04.20.day6	3.2825560840296526
14989.soil.hip.SHSU.2016.024.2016.04.21.day7	3.8376292834080643
14989.soil.hip.UTK.K016.01.2016.04.05.day1	6.227916191787395
14989.soil.hip.UTK.K016.01.2016.04.06.day2	6.85141286302616
14989.soil.hip.UTK.K016.01.2016.04.08.day4	5.967928891237738
14989.soil.hip.UTK.K016.01.2016.04.09.day5	5.4313321062296405
14989.soil.hip.UTK.K016.01.2016.04.10.day6	6.240219486622917
14989.soil.hip.UTK.K016.01.2016.04.11.day7	6.9823618762233455
14989.soil.hip.UTK.K016.01.2016.04.12.day8	6.421946524520508
14989.soil.hip.UTK.K016.01.2016.04.13.day9	5.636331667179043
14989.soil.hip.UTK.K016.01.2016.04.14.day10	5.854163036920555
14989.soil.hip.UTK.K016.01.2016.04.15.day11	4.33020121358249
14989.soil.hip.UTK.K016.01.2016.04.16.day12	4.325666943322576
14989.soil.hip.UTK.K016.01.2016.04.17.day13	3.435456629219254
14989.soil.hip.UTK.K016.01.2016.04.18.day14	3.8341095893709585
14989.soil.hip.UTK.K016.01.2016.04.21.day17	3.754142314308597
14989.soil.hip.UTK.K016.01.2016.04.22.day18	4.677479231844463
14989.soil.hip.UTK.K016.01.2016.04.23.day19	4.075848459066303
14989.soil.hip.UTK.K016.01.2016.04.24.day20	4.760706002160314
14989.soil.hip.UTK.K016.01.2016.04.25.day21	4.956658567198696
14989.soil.hip.UTK.K016.02.2016.04.13.day1	6.129726056319735
14989.soil.hip.UTK.K016.02.2016.04.14.day2	6.2629513825165875
14989.soil.hip.UTK.K016.02.2016.04.16.day4	6.77803756564729
14989.soil.hip.UTK.K016.02.2016.04.18.day6	6.052237993891406
14989.soil.hip.UTK.K016.02.2016.04.24.day12	5.259844682420453
14989.soil.hip.UTK.K016.02.2016.04.25.day13	6.599841300766183
14989.soil.hip.UTK.K016.02.2016.04.26.day14	4.8125470353399065
14989.soil.hip.UTK.K016.02.2016.04.27.day15	5.465794074138523
14989.soil.hip.UTK.K016.02.2016.04.28.day16	5.176402489285846
14989.soil.hip.UTK.K016.02.2016.04.29.day17	5.563962121748584
14989.soil.hip.UTK.K016.02.2016.04.30.day18	4.719386786742206
